3713-Salmon Very Light;ffe2e2
798-Delft Blue Dark;466a8e
797-Royal Blue;13477d
796-Royal Blue Dark;11416d
820-Royal Blue Very Dark;0e365c
162-Blue Ultra Very Light;dbecf5
827-Blue Very Light;bddded
813-Blue Light;a1c2d7
826-Blue Medium;6b9ebf
825-Blue Dark;4781a5
824-Blue Very Dark;396987
996-Electric Blue Medium;30c2ec
3843-Electric Blue;14aad0
995-Electric Blue Dark;2696b6
3846-Turquoise Bright Light;06e3e6
3845-Turquoise Bright Med;04c4ca
3844-Turquoise Bright Dark;12aeba
159-Blue Gray Light;c7cad7
160-Blue Gray Medium;999fb7
161-Blue Gray;7880a4
3756-Baby Blue Ult Vy Lt;eefcfc
775-Baby Blue Very Light;d9ebf1
3841-Baby Blue Pale;cddfed
3325-Baby Blue Light;b8d2e6
3755-Baby Blue;93b4ce
334-Baby Blue Medium;739fc1
322-Baby Blue Dark;5a8fb8
312-Baby Blue Very Dark;35668b
803-Baby Blue Ult Vy Dk;2c597c
336-Navy Blue;253b73
823-Navy Blue Dark;213063
939-Navy Blue Very Dark;1b2853
3753-Antique Blue Ult Vy Lt;dbe2e9
3752-Antique Blue Very Lt;c7d1db
932-Antique Blue Light;a2b5c6
931-Antique Blue Medium;6a859e
930-Antique Blue Dark;455c71
3750-Antique Blue Very Dk;384c5e
828-Sky Blue Vy Lt;c5e8ed
3761-Sky Blue Light;acd8e2
519-Sky Blue;7eb1c8
518-Wedgewood Light;4f93a7
3760-Wedgewood Med;3e85a2
517-Wedgewood Dark;3b768f
3842-Wedgewood Vry Dk;32667c
311-Wedgewood Ult VyDk;1c5066
747-Peacock Blue Vy Lt;e5fcfd
3766-Peacock Blue Light;99cfd9
807-Peacock Blue;64abba
806-Peacock Blue Dark;3d95a5
3765-Peacock Blue Vy Dk;347f8c
3811-Turquoise Very Light;bce3e6
598-Turquoise Light;90c3cc
597-Turquoise;5ba3b3
3810-Turquoise Dark;488e9a
3809-Turquoise Vy Dark;3f7c85
3808-Turquoise Ult Vy Dk;366970
928-Gray Green Vy Lt;dde3e3
927-Gray Green Light;bdcbcb
926-Gray Green Med;98aeae
3768-Gray Green Dark;657f7f
924-Gray Green Vy Dark;566a6a
3849-Teal Green Light;52b3a4
3848-Teal Green Med;559392
3847-Teal Green Dark;347d75
964-Sea Green Light;a9e2d8
959-Sea Green Med;59c7b4
958-Sea Green Dark;3eb6a1
3812-Sea Green Vy Dk;2f8c84
3851-Green Bright Lt;49b3a1
943-Green Bright Md;3d9384
3850-Green Bright Dk;378477
993-Aquamarine Vy Lt;90c0b4
992-Aquamarine Lt;6fae9f
3814-Aquamarine;508b7d
991-Aquamarine Dk;477b6e
966-Jade Ultra Vy Lt;b9d7c0
564-Jade Very Light;a7cdaf
563-Jade Light;8fc098
562-Jade Medium;53976a
505-Jade Green;338362
3817-Celadon Green Lt;99c3aa
3816-Celadon Green;65a57d
163-Celadon Green Md;4d8361
3815-Celadon Green Dk;477759
561-Celadon Green VD;2c6a45
504-Blue Green Vy Lt;c4decc
3813-Blue Green Lt;b2d4bd
503-Blue Green Med;7bac94
502-Blue Green;5b9071
501-Blue Green Dark;396f52
500-Blue Green Vy Dk;044d33
955-Nile Green Light;a2d6ad
954-Nile Green;88ba91
913-Nile Green Med;6dab77
912-Emerald Green Lt;1b9d6b
911-Emerald Green Med;189065
910-Emerald Green Dark;187e56
909-Emerald Green Vy Dk;156f49
3818-Emerald Grn Ult V Dk;115a3b
369-Pistachio Green Vy Lt;d7edcc
368-Pistachio Green Lt;a6c298
320-Pistachio Green Med;69885a
367-Pistachio Green Dk;617a52
319-Pistachio Grn Vy Dk;205f2e
890-Pistachio Grn Ult V D;174923
164-Forest Green Lt;c8d8b8
989-Forest Green;8da675
988-Forest Green Med;738b5b
987-Forest Green Dk;587141
986-Forest Green Vy Dk;405230
772-Yellow Green Vy Lt;e4ecd4
3348-Yellow Green Lt;ccd9b1
3347-Yellow Green Med;71935c
3346-Hunter Green;406a3a
3345-Hunter Green Dk;1b5915
895-Hunter Green Vy Dk;1b5300
704-Chartreuse Bright;9ecf34
703-Chartreuse;7bb547
702-Kelly Green;47a72f
701-Green Light;3f8f29
700-Green Bright;07731b
699-Green;056517
907-Parrot Green Lt;c7e666
906-Parrot Green Md;7fb335
905-Parrot Green Dk;628a28
904-Parrot Green V Dk;557822
472-Avocado Grn U Lt;d8e498
471-Avocado Grn V Lt;aebf79
470-Avocado Grn Lt;94ab4f
469-Avocado Green;72843c
937-Avocado Green Md;627133
936-Avocado Grn V Dk;4c5826
935-Avocado Green Dk;424d21
934-Avocado Grn Black;313919
523-Fern Green Lt;abb197
3053-Green Gray;9ca482
3052-Green Gray Md;889268
3051-Green Gray Dk;5f6648
524-Fern Green Vy Lt;c4cdac
522-Fern Green;969e7e
520-Fern Green Dark;666d4f
3364-Pine Green;83975f
3363-Pine Green Md;728256
3362-Pine Green Dk;5e6b47
165-Moss Green Vy Lt;eff4a4
3819-Moss Green Lt;e0e868
166-Moss Green Md Lt;c0c840
581-Moss Green;a7ae38
580-Moss Green Dk;888d33
734-Olive Green Lt;c7c077
733-Olive Green Md;bcb34c
732-Olive Green;948c36
731-Olive Green Dk;938b37
730-Olive Green V Dk;827b30
3013-Khaki Green Lt;b9b982
3012-Khaki Green Md;a6a75d
3011-Khaki Green Dk;898a58
372-Mustard Lt;ccb784
371-Mustard;bfa671
370-Mustard Medium;b89d64
834-Golden Olive Vy Lt;dbbe7f
833-Golden Olive Lt;c8ab6c
832-Golden Olive;bd9b51
831-Golden Olive Md;aa8f56
830-Golden Olive Dk;8d784b
829-Golden Olive Vy Dk;7e6b42
613-Drab Brown V Lt;dcc4aa
612-Drab Brown Lt;bc9a78
611-Drab Brown;967656
610-Drab Brown Dk;796047
3047-Yellow Beige Lt;e7d6c1
3046-Yellow Beige Md;d8bc9a
3045-Yellow Beige Dk;bc966a
167-Yellow Beige V Dk;a77c49
746-Off White;fcfcee
677-Old Gold Vy Lt;f5eccb
422-Hazelnut Brown Lt;c69f7b
3828-Hazelnut Brown;b78b61
420-Hazelnut Brown Dk;a07042
869-Hazelnut Brown V Dk;835e39
728-Topaz;e4b468
783-Topaz Medium;ce9124
782-Topaz Dark;ae7720
781-Topaz Very Dark;a26d20
780-Topaz Ultra Vy Dk;94631a
676-Old Gold Lt;e5ce97
729-Old Gold Medium;d0a53e
680-Old Gold Dark;bc8d0e
3829-Old Gold Vy Dark;a98204
3822-Straw Light;f6dc98
3821-Straw;f3ce75
3820-Straw Dark;dfb65f
3852-Straw Very Dark;cd9d37
445-Lemon Light;fffb8b
307-Lemon;fded54
973-Canary Bright;ffe300
444-Lemon Dark;ffd600
3078-Golden Yellow Vy Lt;fdf9cd
727-Topaz Vy Lt;fff1af
726-Topaz Light;fdd755
725-Topaz Med Lt;ffc840
972-Canary Deep;ffb515
745-Yellow Pale Light;ffe9ad
744-Yellow Pale;ffe793
743-Yellow Med;fed376
742-Tangerine Light;ffbf57
741-Tangerine Med;ffa32b
740-Tangerine;ff8b00
970-Pumpkin Light;f78b13
971-Pumpkin;f67f00
947-Burnt Orange;ff7b4d
946-Burnt Orange Med;eb6307
900-Burnt Orange Dark;d15807
967-Apricot Very Light;ffded5
3824-Apricot Light;fecdc2
3341-Apricot;fcab98
3340-Apricot Med;ff836f
608-Burnt Orange Bright;fd5d35
606-Orange?Red Bright;fa3203
951-Tawny Light;ffe2cf
3856-Mahogany Ult Vy Lt;ffd3b5
722-Orange Spice Light;f7976f
721-Orange Spice Med;f27842
720-Orange Spice Dark;e55c1f
3825-Pumpkin Pale;fdbd96
922-Copper Light;e27323
921-Copper;c66218
920-Copper Med;ac5414
919-Red Copper;a64510
918-Red Copper Dark;82340a
3770-Tawny Vy Light;ffeee3
945-Tawny;fbd5bb
402-Mahogany Vy Lt;f7a777
3776-Mahogany Light;cf7939
301-Mahogany Med;b35f2b
400-Mahogany Dark;8f430f
300-Mahogany Vy Dk;6f2f00
3823-Yellow Ultra Pale;fffde3
3855-Autumn Gold Lt;fad396
3854-Autumn Gold Med;f2af68
3853-Autumn Gold Dk;f29746
3827-Golden Brown Pale;f7bb77
977-Golden Brown Light;dc9c56
976-Golden Brown Med;c28142
3826-Golden Brown;ad7239
975-Golden Brown Dk;914f12
948-Peach Very Light;fee7da
754-Peach Light;f7cbbf
3771-Terra Cotta Ult Vy Lt;f4bba9
758-Terra Cotta Vy Lt;eeaa9b
3778-Terra Cotta Light;d98978
356-Terra Cotta Med;c56a5b
3830-Terra Cotta;b95544
355-Terra Cotta Dark;984436
3777-Terra Cotta Vy Dk;863022
3779-Rosewood Ult Vy Lt;f8cac8
3859-Rosewood Light;ba8b7c
3858-Rosewood Med;964a3f
3857-Rosewood Dark;68251a
3774-Desert Sand Vy Lt;f3e1d7
950-Desert Sand Light;eed3c4
3064-Desert Sand;c48e70
407-Desert Sand Med;bb8161
3773-Desert Sand Dark;b67552
3772-Desert Sand Vy Dk;a06c50
632-Desert Sand Ult Vy Dk;875539
453-Shell Gray Light;d7cecb
452-Shell Gray Med;c0b3ae
451-Shell Gray Dark;917b73
3861-Cocoa Light;a68881
3860-Cocoa;7d5d57
779-Cocoa Dark;624b45
712-Cream;fffbef
739-Tan Ult Vy Lt;f8e4c8
738-Tan Very Light;eccc9e
437-Tan Light;e4bb8e
436-Tan;cb9051
435-Brown Very Light;b87748
434-Brown Light;985e33
433-Brown Med;7a451f
801-Coffee Brown Dk;653919
898-Coffee Brown Vy Dk;492a13
938-Coffee Brown Ult Dk;361f0e
3371-Black Brown;1e1108
543-Beige Brown Ult Vy Lt;f2e3ce
3864-Mocha Beige Light;cbb69c
3863-Mocha Beige Med;a4835c
3862-Mocha Beige Dark;8a6e4e
3031-Mocha Brown Vy Dk;4b3c2a
B5200-Snow White;ffffff
White-White;fcfbf8
3865-Winter White;f9f7f1
Ecru-Ecru;f0eada
822-Beige Gray Light;e7e2d3
644-Beige Gray Med;ddd8cb
642-Beige Gray Dark;a49878
640-Beige Gray Vy Dk;857b61
3787-Brown Gray Dark;625d50
3021-Brown Gray Vy Dk;4f4b41
3024-Brown Gray Vy Lt;ebeae7
3023-Brown Gray Light;b1aa97
3022-Brown Gray Med;8e9078
535-Ash Gray Vy Lt;636458
3033-Mocha Brown Vy Lt;e3d8cc
3782-Mocha Brown Lt;d2bca6
3032-Mocha Brown Med;b39f8b
3790-Beige Gray Ult Dk;7f6a55
3781-Mocha Brown Dk;6b5743
3866-Mocha Brn Ult Vy Lt;faf6f0
842-Beige Brown Vy Lt;d1baa1
841-Beige Brown Lt;b69b7e
840-Beige Brown Med;9a7c5c
839-Beige Brown Dk;675541
838-Beige Brown Vy Dk;594937
3072-Beaver Gray Vy Lt;e6e8e8
648-Beaver Gray Lt;bcb4ac
647-Beaver Gray Med;b0a69c
646-Beaver Gray Dk;877d73
645-Beaver Gray Vy Dk;6e655c
844-Beaver Gray Ult Dk;484848
762-Pearl Gray Vy Lt;ececec
415-Pearl Gray;d3d3d6
318-Steel Gray Lt;ababab
414-Steel Gray Dk;8c8c8c
168-Pewter Very Light;d1d1d1
169-Pewter Light;848484
317-Pewter Gray;6c6c6c
413-Pewter Gray Dark;565656
3799-Pewter Gray Vy Dk;424242
310-Black;000000
